_id,GRUPOSERVICO_CODIGO,GRUPOSERVICO_DESCRICAO,SERVICO_CODIGO,SERVICO_DESCRICAO,LOGRADOURO,NUMERO,BAIRRO,RPA,DATA_DEMANDA,SITUACAO,DATA_ULT_SITUACAO
95,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  JOSE DE SOUZA MARMELO,74,COHAB,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
96,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  JOSE DOS SANTOS,SN,ENGENHO DO MEIO,4,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
97,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  MANOEL AZEVEDO DE ANDRADE,39,MUSTARDINHA,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
98,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  MAQUINE,11,COQUEIRAL,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
99,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  MOEDA,SN,RECIFE,1,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
100,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  MONICA RAPOSO,22,COHAB,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
101,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  NOVA DESCOBERTA,S/N,NOVA DESCOBERTA,3,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
102,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  PEDRO ALVES,50,ENCRUZILHADA,2,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
103,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  PROJETADA,00,BOA VIAGEM,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
104,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  PROJETADA,00,MUSTARDINHA,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
