_id,GRUPOSERVICO_CODIGO,GRUPOSERVICO_DESCRICAO,SERVICO_CODIGO,SERVICO_DESCRICAO,LOGRADOURO,NUMERO,BAIRRO,RPA,DATA_DEMANDA,SITUACAO,DATA_ULT_SITUACAO
"20,11,DRENAGEM,18,""REPOSIÇÃO TAMPA DE POÇO, GALERIAS E PRE-MOLDADOS"",AV  ANTONIO DE GOES,283,PINA,6,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00"
21,11,DRENAGEM,72,RECUP. DE ABATIMENTO GALERIA,AV  BEBERIBE,2715,FUNDAO,2,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
22,11,DRENAGEM,72,RECUP. DE ABATIMENTO GALERIA,AV  HILDEBRANDO DE VASCONCELOS,S/N,DOIS UNIDOS,2,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
23,11,DRENAGEM,72,RECUP. DE ABATIMENTO GALERIA,RUA  ISAAC SALAZAR,189,TAMARINEIRA,3,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
24,11,DRENAGEM,72,RECUP. DE ABATIMENTO GALERIA,RUA  SA E SOUZA,S/N,BOA VIAGEM,6,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
25,11,DRENAGEM,72,RECUP. DE ABATIMENTO GALERIA,RUA MARECHAL DEODORO,366,ENCRUZILHADA,2,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
26,11,DRENAGEM,72,RECUP. DE ABATIMENTO GALERIA,RUA SANTO CRISTO,145,AFOGADOS,5,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
27,12,ESCADARIA,57,RECUP. DE ESCADARIA,RUA SAO ROMAO,43,BREJO DA GUABIRABA,3,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
28,15,FISCALIZAÇÃO URBANA,51,REG. DE VARRICAO OU ESVAZIAR PAPELEIRA,RUA DR LUIZ INACIO PESSOA DE MELO,S/N,BOA VIAGEM,6,2021-04-09T00:00:00,PREPARAÇÃO,2021-04-09T00:00:00
29,17,ILUMINAÇÃO PÚBLICA,21,APAGAR LAMPADA,RUA  ASSEMBLEIA,42,COHAB,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
30,17,ILUMINAÇÃO PÚBLICA,21,APAGAR LAMPADA,RUA  JEAN EMILE FAVRE,00,IPSEP,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
31,17,ILUMINAÇÃO PÚBLICA,21,APAGAR LAMPADA,RUA DR GONZAGA MARANHAO,962,IPSEP,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
32,17,ILUMINAÇÃO PÚBLICA,22,APAGAR CIRCUITO,AV ENGENHEIRO DOMINGOS FERREIRA,00,BOA VIAGEM,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
33,17,ILUMINAÇÃO PÚBLICA,23,ACENDER CIRCUITO,AV  RECIFE,00,IBURA,6,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
34,17,ILUMINAÇÃO PÚBLICA,23,ACENDER CIRCUITO,AV  RECIFE,00,JARDIM SAO PAULO,5,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
35,17,ILUMINAÇÃO PÚBLICA,23,ACENDER CIRCUITO,ROD  BR CENTO E UM,SN,VARZEA,4,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
36,17,ILUMINAÇÃO PÚBLICA,23,ACENDER CIRCUITO,RUA  JORGE GOMES DE SA,00,SANTANA,3,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
37,17,ILUMINAÇÃO PÚBLICA,23,ACENDER CIRCUITO,RUA  PROJETADA,162,ESTANCIA,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
38,17,ILUMINAÇÃO PÚBLICA,23,ACENDER CIRCUITO,RUA  RIO NOVO DO SUL,S/N,IBURA,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
39,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,1TR CONEGO LUIZ VIEIRA,10,COHAB,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
40,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,1TR PRINCIPE BEIRA,115 B,JIQUIA,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
41,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,1TR PRINCIPE BEIRA,34,JIQUIA,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
42,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV  BEIRA RIO,SN,ILHA DO LEITE,1,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
43,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV  BOA VIAGEM,00,BOA VIAGEM,6,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
44,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV  BOA VIAGEM,S/N,BOA VIAGEM,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
45,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV  DANTAS BARRETO,SN,SANTO ANTONIO,1,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
46,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV  RUI BARBOSA,S/N,JAQUEIRA,3,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
47,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV  SUL GOV  CID SAMPAIO,SN,SAO JOSE,1,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
48,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV  TRINTA DE OUTUBRO,366,JARDIM SAO PAULO,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
49,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV DES PEDRO RIBEIRO MALTA,00,BARRO,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
50,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV ENGENHEIRO ABDIAS DE CARVALHO,1991,SAN MARTIN,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
51,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV ENGENHEIRO ABDIAS DE CARVALHO,S/N,BONGI,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
52,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV MARECHAL MASCARENHAS DE MORAES,5558,IMBIRIBEIRA,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
53,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV MARECHAL MASCARENHAS DE MORAES,5855,IMBIRIBEIRA,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
54,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV MARECHAL MASCARENHAS DE MORAES,6345,IMBIRIBEIRA,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
55,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV MARECHAL MASCARENHAS DE MORAES,S/N,IMBIRIBEIRA,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
56,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV PADRE CICERO,878,BARRO,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
57,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV POETA VINICIUS DE MORAIS,S/N,CAMPINA DO BARRETO,2,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
58,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV PREFEITO ANTONIO PEREIRA,S/N,VARZEA,4,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
59,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV PROFESSOR JOAQUIM CAVALCANTI,SN,IPUTINGA,4,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
60,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV SANTO ANTONIO,15,BARRO,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
61,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV SENADOR ROBERT KENNEDY,675,IPSEP,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
62,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,AV VISCONDE SUASSUNA,196,SANTO AMARO,1,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
63,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,ROD  BR CENTO E UM,SN,IPUTINGA,4,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
64,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  ADOLFO FARO,S/N,IPSEP,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
65,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  ANTONIO DA SILVA,SN,ENGENHO DO MEIO,4,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
66,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  APIPUCOS,S/N,APIPUCOS,3,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
67,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  ARISTIDES LOBO,S/N,IPSEP,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
